date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,1.92206,1.385844,0.057295,2.019937,0.9068687,0.4873076,1.885013,2.288495,1.336209,1.032414,2.325073,1.366185,1.901079,0.3582354,0.1686195,0.6543485,1.593498,2.311686,0.4105245,1.278153,0.3280523,1.656579,0.3796195,0.8240554,1.970572,2.010046,0.2669164,1.069998,-0.2416546,0.4919471,0.9099379,2.022613
2006-01-01,1.914531,1.309614,-0.0707363,2.093455,1.093416,0.3565845,1.803052,2.469991,1.185721,1.020037,2.464972,1.463727,1.792327,0.3637859,0.0785967,0.6587242,1.71035,2.183154,0.4838046,1.259531,0.161695,1.882664,0.3698641,1.010357,2.050479,2.133688,0.2741507,1.016922,-0.1638925,0.4223817,1.034196,2.196596
2007-01-01,2.013397,1.355735,-0.1834969,2.150764,1.080966,0.3026025,1.73584,2.446026,1.086643,1.003259,2.40055,1.464608,1.742208,0.2673829,0.0918284,0.6228059,1.748592,2.208236,0.3368244,1.093163,0.1301493,1.971466,0.352404,1.023427,2.169937,1.992581,0.2991638,1.036281,-0.1827063,0.349663,1.009254,2.244637
2008-01-01,1.843035,1.37489,-0.2546794,2.124064,1.204644,0.358294,1.759813,2.393064,1.190226,0.9905757,2.33726,1.407428,1.682487,0.1335602,-0.0105806,0.471792,1.749867,2.343693,0.2701409,1.186626,0.1396623,1.971972,0.2548864,0.9979604,2.118235,1.906427,0.4613512,1.070165,-0.1428367,0.3621189,0.9819186,2.227349
2009-01-01,1.703025,1.460206,-0.2125671,2.070191,0.912045,0.3862098,1.755258,2.446495,1.0622,1.007584,2.251192,1.438242,1.632727,0.0674696,-0.0464476,0.4338323,1.759452,2.04152,0.1990607,1.688023,0.2315532,1.973333,0.2262741,0.7729582,2.134323,1.994785,0.4450843,1.092931,-0.26255,0.2703549,1.058566,2.253191
2010-01-01,1.585462,1.527498,-0.1851036,2.072074,0.9748735,0.3316386,1.77627,2.358993,1.084354,0.9951673,2.159788,1.46638,1.604827,-0.0577769,0.0592684,0.3656501,1.688269,1.942624,0.1269229,1.846567,0.3767319,2.046461,0.2283071,0.7900173,2.143759,2.085211,0.4970796,1.090371,-0.2265265,0.2946005,0.9228679,2.274587
2011-01-01,1.431896,1.575072,-0.2203161,2.035801,0.866362,0.3417933,1.743273,2.404429,1.104124,1.052501,2.198592,1.532394,1.616091,-0.0988188,0.063671,0.3995961,1.562963,1.939586,0.1818639,1.811492,0.3271061,2.159844,0.2866477,0.7660429,2.120604,2.149326,0.5570222,1.112964,-0.2132552,0.275088,0.9488065,2.196957
2012-01-01,1.389731,1.608068,-0.2278577,2.14676,1.251134,0.2722682,1.829577,2.381079,1.128226,1.096038,2.235261,1.455788,1.674153,-0.1892218,0.0098654,0.3563344,1.463658,1.886239,0.066175,1.80148,0.3939939,2.122712,0.245459,0.9432184,2.117599,2.256409,0.6632341,0.9602379,-0.2633975,0.096679,0.8397469,2.312869
2013-01-01,1.550795,1.673882,-0.2672882,2.13242,1.245758,0.228799,1.813811,2.404901,0.9030925,1.188761,2.202126,1.329576,1.699135,-0.0453114,0.1242202,0.3216026,1.538592,1.912274,0.0516357,1.8412,0.4260329,2.123356,0.3284156,0.9835,2.046002,2.294475,0.5960163,0.9504781,-0.1879764,0.083146,0.7293216,2.291621
2014-01-01,1.474735,1.573292,-0.2468749,2.151519,1.075781,0.3677951,1.83838,2.24726,0.6298417,1.303456,2.165775,1.314697,1.738478,-0.1223881,0.2190414,0.1645602,1.60488,1.827839,-0.0296416,2.081461,0.558858,2.073182,0.4153654,0.8517444,1.990494,2.226566,0.635148,0.9476263,-0.1126162,0.1627372,0.7267765,2.153375
2015-01-01,1.519276,1.573307,-0.2646455,2.136473,1.007444,0.4337359,1.837888,2.211076,0.5839002,1.293648,2.275324,1.305666,1.876371,-0.0766138,0.2452261,0.1486354,1.615371,1.93911,0.0162641,2.064388,0.6176547,2.096687,0.4681761,0.9003745,1.884297,2.242804,0.6695215,0.964725,-0.0176464,0.1778616,0.7729982,2.241128
2016-01-01,1.548537,1.638705,-0.1684433,1.988357,0.8266463,0.5367572,1.843418,2.230591,0.5156305,1.272345,2.239528,1.400143,1.898977,-0.0920857,0.2033308,0.0972435,1.583356,1.949494,0.0844068,2.042704,0.7138361,2.096854,0.4311383,0.7212449,1.913111,2.196583,0.7391052,0.9255069,-0.0187149,0.2291559,0.8229882,2.19184
2017-01-01,1.526011,1.497117,-0.1611123,1.989034,0.7827289,0.567677,1.841089,2.193379,0.4917679,1.242413,2.215811,1.259483,1.843343,-0.1383459,0.1867006,0.0892915,1.548565,1.838121,0.1885998,2.056443,0.5537298,1.985497,0.5358248,0.7396526,1.867278,2.236777,0.7249848,0.8739432,-0.0314776,0.2237696,0.8137993,2.138935
2018-01-01,1.596262,1.510279,-0.1515335,2.00971,0.6399662,0.5037321,1.946584,2.147795,0.613507,1.506318,2.21243,1.316893,1.826577,-0.0660259,0.1316391,0.053347,1.547376,1.843649,0.2356188,2.00771,0.4978957,2.087755,0.3285871,0.5799018,2.009026,2.089907,0.6414219,0.8498304,-0.1216504,0.3629198,0.8702175,2.139578
