date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,34940.0,33590.0,10240.0,43980.0,26320.0,20970.0,32060.0,34430.0,27230.0,15870.0,32190.0,31020.0,33110.0,25620.0,14950.0,16000.0,35020.0,35470.0,30180.0,,14330.0,63000.0,13690.0,21520.0,37110.0,48300.0,13650.0,22420.0,9320.0,16160.0,23630.0,34500.0
2006-01-01,37710.0,35730.0,11030.0,48470.0,28320.0,22340.0,34700.0,37750.0,30120.0,18260.0,34730.0,33080.0,34800.0,27990.0,16990.0,17240.0,38770.0,36300.0,32550.0,,16170.0,63450.0,15350.0,22380.0,41290.0,54120.0,14820.0,23960.0,11160.0,18300.0,25370.0,38410.0
2007-01-01,39350.0,37270.0,11870.0,50050.0,30750.0,24460.0,36780.0,39160.0,31640.0,20450.0,37910.0,34770.0,35430.0,28540.0,18920.0,17660.0,40430.0,38750.0,34130.0,,18380.0,72700.0,17590.0,24110.0,43880.0,55720.0,16220.0,24970.0,13240.0,20540.0,26910.0,41820.0
2008-01-01,41660.0,38800.0,13720.0,49150.0,34260.0,26040.0,38160.0,41740.0,32340.0,21470.0,40150.0,35860.0,36320.0,29940.0,20160.0,19330.0,38350.0,34050.0,35200.0,,20040.0,71610.0,19220.0,25530.0,45110.0,61480.0,17990.0,25770.0,16360.0,23250.0,28830.0,43430.0
2009-01-01,40910.0,38460.0,13880.0,52750.0,33800.0,25650.0,37650.0,40740.0,31480.0,19880.0,38450.0,35480.0,34740.0,29690.0,19270.0,19780.0,34790.0,33600.0,34590.0,,18480.0,55730.0,18110.0,24360.0,44130.0,55740.0,18670.0,25580.0,16380.0,22900.0,27090.0,41100.0
2010-01-01,42360.0,40450.0,14620.0,56180.0,32940.0,25620.0,39730.0,43700.0,31220.0,20440.0,39460.0,36730.0,36370.0,27570.0,19100.0,20590.0,36270.0,32160.0,35080.0,,19910.0,61750.0,17770.0,26350.0,45170.0,58580.0,20300.0,26390.0,16710.0,24400.0,27460.0,43330.0
2011-01-01,44600.0,41010.0,15180.0,56830.0,34190.0,26620.0,43630.0,45340.0,31310.0,23310.0,41070.0,38440.0,37310.0,25430.0,20080.0,21790.0,36450.0,34550.0,36510.0,,22150.0,63530.0,19770.0,27660.0,47250.0,62730.0,22030.0,26340.0,17610.0,24900.0,28540.0,45420.0
2012-01-01,46500.0,43270.0,15990.0,59140.0,31610.0,27250.0,44400.0,45820.0,31470.0,24970.0,41060.0,38500.0,37910.0,25450.0,20390.0,22180.0,37310.0,36690.0,36440.0,,23870.0,63710.0,21140.0,28240.0,48080.0,65990.0,22940.0,25810.0,18600.0,26140.0,28590.0,46340.0
2013-01-01,48050.0,44750.0,16200.0,61380.0,30020.0,28670.0,46040.0,48210.0,32220.0,26860.0,41660.0,40410.0,39160.0,26070.0,21280.0,23800.0,40480.0,42100.0,36250.0,,26090.0,63840.0,22640.0,29720.0,49910.0,67770.0,23890.0,27560.0,19370.0,27640.0,29570.0,47180.0
2014-01-01,48860.0,45870.0,17380.0,62170.0,29240.0,30090.0,47950.0,49640.0,33400.0,28140.0,42180.0,41010.0,40420.0,27020.0,21620.0,24500.0,43230.0,43500.0,36200.0,,27820.0,67290.0,23770.0,32100.0,49110.0,68100.0,24670.0,28150.0,20360.0,28560.0,30590.0,48040.0
2015-01-01,49390.0,46870.0,17820.0,65450.0,31510.0,31420.0,48770.0,50560.0,34900.0,28570.0,42950.0,41720.0,41540.0,26940.0,22870.0,25460.0,52990.0,46480.0,36650.0,,27780.0,67590.0,24690.0,34280.0,50340.0,63030.0,25880.0,28870.0,21130.0,28950.0,30660.0,49420.0
2016-01-01,51810.0,48310.0,19450.0,64680.0,33000.0,32950.0,50740.0,51990.0,36650.0,30200.0,44240.0,42940.0,42500.0,27270.0,23780.0,26480.0,57920.0,50320.0,39290.0,,29220.0,68870.0,25810.0,35150.0,50580.0,60600.0,26640.0,30290.0,23240.0,30320.0,32350.0,49760.0
2017-01-01,53460.0,50760.0,21220.0,67140.0,35750.0,35680.0,53390.0,55560.0,38880.0,32790.0,46740.0,45310.0,44840.0,28640.0,25970.0,27990.0,61170.0,54140.0,41430.0,,32070.0,71310.0,27990.0,38120.0,54910.0,64760.0,28690.0,32010.0,25970.0,31730.0,35490.0,52660.0
2018-01-01,55300.0,51740.0,22300.0,68820.0,39880.0,37530.0,54560.0,56410.0,39800.0,34970.0,48580.0,46360.0,45350.0,29670.0,27180.0,29860.0,67050.0,55190.0,42290.0,,34320.0,72200.0,29780.0,39230.0,56890.0,68310.0,30010.0,32680.0,27520.0,33060.0,37450.0,54030.0
